Date,Time,Open,High,Low,Close,Volume,"Simple Moving Average - SMA - SMA(40)","Aroon - Aroon Up(High,20)","Aroon - Aroon Down(Low,20)","Historical Volatility - HV - HV(Close,20,251)","BOLLINGER BAND ® - BB - BBUpper(40,2)","BOLLINGER BAND ® - BB - BBLower(40,2)","Relative Strength Index - RSI - RSI(14)","Exponential Moving Average - EMA - EMA(10,Modern)"
11/17/2022,12:13 PM,393.44,393.5,393.33,393.38,139239,392.285835,65,5,1.14416465637105,394.026698511297,390.544971488703,65.4401925767679,393.316245971612
11/17/2022,12:14 PM,393.36,393.37,393.19,393.19,146394,392.331085,60,0,1.17213365090337,394.06950763129,390.59266236871,59.4267295257063,393.293292158592
11/17/2022,12:15 PM,393.21,393.32,393.19,393.23,122016,392.37471,55,0,1.17275786693853,394.113594561323,390.635825438677,60.2547785933815,393.281784493393
11/17/2022,12:16 PM,393.24,393.3,393.04,393.11,92197,392.41446,50,0,0.707979829427582,394.146052182873,390.682867817127,56.5275811735725,393.25055094914
11/17/2022,12:17 PM,393.105,393.17,393.02,393.07,85913,392.45446,45,0,0.703393211488871,394.170788723621,390.738131276379,55.2996425646919,393.217723503842
11/17/2022,12:18 PM,393.08,393.155,392.93,393.14,99289,392.499585,40,0,0.679951577184566,394.190536408212,390.808633591788,57.0576658825217,393.203591957689
11/17/2022,12:19 PM,393.14,393.31,393.13,393.25,75435,392.543085,35,0,0.67529095974349,394.219429858661,390.866740141339,59.7374177877705,393.212029783564
11/17/2022,12:20 PM,393.26,393.41,393.21,393.3999,92112,392.5902075,30,0,0.641689595666083,394.254228918965,390.926186081036,63.1153308294193,393.246188004734
11/17/2022,12:21 PM,393.39,393.4,393.27,393.27,75659,392.6357075,25,85,0.622079588834054,394.271828141228,390.999586858773,58.5324775894463,393.250517458419
11/17/2022,12:22 PM,393.26,393.35,393.07,393.077,75070,392.6783825,20,80,0.584589914019079,394.268627289208,391.088137710792,52.4399664334708,393.218968829615
